"Symbol,""Name"",""LastSale"",""MarketCap"",""ADR TSO"",""IPOyear"",""Sector"",""Industry"",""Summary Quote"",";
"EMAN,""eMagin Corporation"",""3.06"",""73067598"",""n/a"",""n/a"",""Technology"",""Semiconductors"",""http://www.nasdaq.com/symbol/eman"",";
"EOX,""Emerald Oil, Inc."",""7.36"",""481250896"",""n/a"",""n/a"",""Energy"",""Oil & Gas Production"",""http://www.nasdaq.com/symbol/eox"",";
"MSN,""Emerson Radio Corporation"",""2.3"",""62398613.6"",""n/a"",""n/a"",""Consumer Non-Durables"",""Consumer Electronics/Appliances"",""http://www.nasdaq.com/symbol/msn"",";
"UUUU,""Energy Fuels Inc"",""6.77"",""132842348.16"",""n/a"",""n/a"",""Basic Industries"",""Mining & Quarrying of Nonmetallic Minerals (No Fuels)"",""http://www.nasdaq.com/symbol/uuuu"",";
"EGI,""Entree Gold Inc"",""0.353"",""51797237.905"",""n/a"",""n/a"",""Basic Industries"",""Precious Metals"",""http://www.nasdaq.com/symbol/egi"",";
"EVI,""EnviroStarm, Inc."",""3.09"",""21734231.88"",""n/a"",""n/a"",""Consumer Services"",""Other Consumer Services"",""http://www.nasdaq.com/symbol/evi"",";
"ERB,""ERBA Diagnostics, Inc."",""3.15"",""137523396.15"",""n/a"",""n/a"",""Health Care"",""Major Pharmaceuticals"",""http://www.nasdaq.com/symbol/erb"",";
"ESP,""Espey Mfg. & Electronics Corp."",""31.58"",""74333319.8"",""n/a"",""n/a"",""Capital Goods"",""Industrial Machinery/Components"",""http://www.nasdaq.com/symbol/esp"",";
"ETUA,""eUnits 2 Year U.S. Market Participation Trust"",""11.74"",""30857286.86"",""n/a"",""2012"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/etua"",";
"ETUB,""eUnits 2 Year U.S. Market Participation Trust"",""11.731"",""0"",""n/a"",""n/a"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/etub"",";
"EMXX,""Eurasian Minerals Inc."",""1.02"",""74439813.18"",""n/a"",""n/a"",""Basic Industries"",""Precious Metals"",""http://www.nasdaq.com/symbol/emxx"",";
"EVBN,""Evans Bancorp, Inc."",""23.05"",""96713213.05"",""n/a"",""n/a"",""Finance"",""Major Banks"",""http://www.nasdaq.com/symbol/evbn"",";
"EVK,""Ever-Glory International Group, Inc."",""5.27"",""77897140.07"",""n/a"",""n/a"",""Consumer Non-Durables"",""Apparel"",""http://www.nasdaq.com/symbol/evk"",";
"EPM,""Evolution Petroleum Corporation, Inc."",""12.76"",""364931776.44"",""n/a"",""n/a"",""Energy"",""Oil & Gas Production"",""http://www.nasdaq.com/symbol/epm"",";
"EPM^A,""Evolution Petroleum Corporation, Inc."",""26"",""0"",""n/a"",""n/a"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/epm^a"",";
"XRA,""Exeter Resource Corporation"",""0.636"",""56227330.908"",""n/a"",""n/a"",""Basic Industries"",""Mining & Quarrying of Nonmetallic Minerals (No Fuels)"",""http://www.nasdaq.com/symbol/xra"",";
"FU,""FAB Universal Corp."",""3.07"",""63873990.2"",""n/a"",""n/a"",""Technology"",""Computer Software: Prepackaged Software"",""http://www.nasdaq.com/symbol/fu"",";
"FCSC,""Fibrocell Science Inc"",""4.95"",""197169513.75"",""n/a"",""n/a"",""Health Care"",""Major Pharmaceuticals"",""http://www.nasdaq.com/symbol/fcsc"",";
"FPP,""FieldPoint Petroleum Corporation"",""4.21"",""33959274.56"",""n/a"",""n/a"",""Energy"",""Oil & Gas Production"",""http://www.nasdaq.com/symbol/fpp"",";
"FPP/WS,""FieldPoint Petroleum Corporation"",""0.6105"",""0"",""n/a"",""n/a"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/fpp/ws"",";
"MXN,""First American Minnesota Municipal Income Fund II, Inc."",""13.17"",""19392904.02"",""n/a"",""2002"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/mxn"",";
"FEN,""First Trust Energy Income and Growth Fund"",""32"",""618998208"",""n/a"",""2004"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/fen"",";
"FWV,""First West Virginia Bancorp, Inc."",""16.81"",""29059951.3"",""n/a"",""n/a"",""Finance"",""Major Banks"",""http://www.nasdaq.com/symbol/fwv"",";
"BDL,""Flanigan&#39";"s Enterprises, Inc."",""14.68"",""27284937.96"",""n/a"",""n/a"",""Consumer Services"",""Restaurants"",""http://www.nasdaq.com/symbol/bdl"","
"FSI,""Flexible Solutions International Inc."",""0.839"",""11049622.449"",""n/a"",""n/a"",""Basic Industries"",""Major Chemicals"",""http://www.nasdaq.com/symbol/fsi"",";
"FSP,""Franklin Street Properties Corp."",""12.12"",""1214271348.6"",""n/a"",""n/a"",""Consumer Services"",""Real Estate Investment Trusts"",""http://www.nasdaq.com/symbol/fsp"",";
"FTF,""Franklin Templeton Limited Duration Income Trust"",""13.09"",""351278658.5"",""n/a"",""2003"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/ftf"",";
"FRD,""Friedman Industries Inc."",""8.62"",""58611207.28"",""n/a"",""n/a"",""Capital Goods"",""Steel/Iron Ore"",""http://www.nasdaq.com/symbol/frd"",";
"FRS,""Frisch&#39";"s Restaurants, Inc."",""26.63"",""135609147.35"",""n/a"",""n/a"",""Consumer Services"",""Restaurants"",""http://www.nasdaq.com/symbol/frs"","
"GGN,""GAMCO Global Gold, Natural Reources & Income Trust by Gabelli"",""9.33"",""944337312.18"",""n/a"",""2005"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/ggn"",";
"GGN^B,""GAMCO Global Gold, Natural Reources & Income Trust by Gabelli"",""20"",""0"",""n/a"",""n/a"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/ggn^b"",";
"EGAS,""Gas Natural Inc."",""9.4"",""98245773.2"",""n/a"",""n/a"",""Public Utilities"",""Oil/Gas Transmission"",""http://www.nasdaq.com/symbol/egas"",";
"GST,""Gastar Exploration Inc."",""6.47"",""395543126.5"",""n/a"",""n/a"",""Energy"",""Oil & Gas Production"",""http://www.nasdaq.com/symbol/gst"",";
"GST^A,""Gastar Exploration Inc."",""24.05"",""0"",""n/a"",""n/a"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/gst^a"",";
"GST^B,""Gastar Exploration Inc."",""25.8825"",""0"",""n/a"",""n/a"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/gst^b"",";
"JOB,""General Employment Enterprises, Inc."",""0.185"",""4217939.875"",""n/a"",""n/a"",""Technology"",""Diversified Commercial Services"",""http://www.nasdaq.com/symbol/job"",";
"GMO,""General Moly, Inc"",""1.28"",""116407357.44"",""n/a"",""n/a"",""Basic Industries"",""Precious Metals"",""http://www.nasdaq.com/symbol/gmo"",";
"GIG,""GigOptix, Inc."",""1.63"",""52092288.17"",""n/a"",""n/a"",""Technology"",""Semiconductors"",""http://www.nasdaq.com/symbol/gig"",";
"GSB,""GlobalSCAPE, Inc."",""2.55"",""47890570.8"",""n/a"",""n/a"",""Technology"",""Computer Software: Prepackaged Software"",""http://www.nasdaq.com/symbol/gsb"",";
"GLOW,""Glowpoint, Inc."",""1.47"",""51376082.52"",""n/a"",""n/a"",""Public Utilities"",""Telecommunications Equipment"",""http://www.nasdaq.com/symbol/glow"",";
"GORO,""Gold Resource Corporation"",""4.95"",""266207876.55"",""n/a"",""n/a"",""Basic Industries"",""Precious Metals"",""http://www.nasdaq.com/symbol/goro"",";
"GSV,""Gold Standard Ventures Corporation"",""0.6452"",""59201369.9336"",""n/a"",""n/a"",""Basic Industries"",""Mining & Quarrying of Nonmetallic Minerals (No Fuels)"",""http://www.nasdaq.com/symbol/gsv"",";
"AUMN,""Golden Minerals Company"",""0.775"",""37872912.35"",""n/a"",""n/a"",""Basic Industries"",""Precious Metals"",""http://www.nasdaq.com/symbol/aumn"",";
"GSS,""Golden Star Resources, Ltd"",""0.5317"",""137766644.249"",""n/a"",""n/a"",""Basic Industries"",""Precious Metals"",""http://www.nasdaq.com/symbol/gss"",";
"GV,""Goldfield Corporation (The)"",""2.2"",""55992978.8"",""n/a"",""n/a"",""Basic Industries"",""Water Supply"",""http://www.nasdaq.com/symbol/gv"",";
"GRC,""Gorman-Rupp Company (The)"",""34.82"",""914150909.12"",""n/a"",""n/a"",""Capital Goods"",""Fluid Controls"",""http://www.nasdaq.com/symbol/grc"",";
"GHM,""Graham Corporation"",""35.75"",""359593806"",""n/a"",""n/a"",""Technology"",""Industrial Machinery/Components"",""http://www.nasdaq.com/symbol/ghm"",";
"GTE,""Gran Tierra Energy Inc."",""7.05"",""1919310971.55"",""n/a"",""n/a"",""Energy"",""Oil & Gas Production"",""http://www.nasdaq.com/symbol/gte"",";
"GPL,""Great Panther Silver Limited"",""0.8601"",""119054796.8715"",""n/a"",""n/a"",""Basic Industries"",""Precious Metals"",""http://www.nasdaq.com/symbol/gpl"",";
"GRH,""GreenHunter Resources, Inc."",""1.17"",""39537349.02"",""n/a"",""n/a"",""Basic Industries"",""Major Chemicals"",""http://www.nasdaq.com/symbol/grh"",";
"GRH^C,""GreenHunter Resources, Inc."",""18.942"",""0"",""n/a"",""n/a"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/grh^c"",";
"SIM,""Grupo Simec, S.A. de C.V."",""11.95"",""1982541698.45"",""n/a"",""1993"",""Basic Industries"",""Steel/Iron Ore"",""http://www.nasdaq.com/symbol/sim"",";
"GVP,""GSE Systems, Inc."",""1.7"",""30409360.3"",""n/a"",""n/a"",""Technology"",""Computer Software: Prepackaged Software"",""http://www.nasdaq.com/symbol/gvp"",";
"GTT,""GTT Communications, Inc."",""8.86"",""206344553.58"",""n/a"",""n/a"",""Public Utilities"",""Telecommunications Equipment"",""http://www.nasdaq.com/symbol/gtt"",";
"HWG,""Hallwood Group Incorporated"",""9.6"",""14641593.6"",""n/a"",""n/a"",""Basic Industries"",""Textiles"",""http://www.nasdaq.com/symbol/hwg"",";
"HEB,""Hemispherx BioPharma, Inc."",""0.4125"",""69572402.625"",""n/a"",""n/a"",""Health Care"",""Biotechnology: Biological Products (No Diagnostic Substances)"",""http://www.nasdaq.com/symbol/heb"",";
"HLM^,""Hillman Group Capital Trust"",""30.699"",""0"",""n/a"",""n/a"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/hlm^"",";
"HMG,""HMG/Courtland Properties, Inc."",""18.4702"",""19226111.4052"",""n/a"",""n/a"",""Consumer Services"",""Real Estate Investment Trusts"",""http://www.nasdaq.com/symbol/hmg"",";
"HH,""Hooper Holmes, Inc."",""0.56"",""39246332.72"",""n/a"",""n/a"",""Health Care"",""Hospital/Nursing Management"",""http://www.nasdaq.com/symbol/hh"",";
"HUSA,""Houston American Energy Corporation"",""0.297"",""15494473.665"",""n/a"",""n/a"",""Energy"",""Oil & Gas Production"",""http://www.nasdaq.com/symbol/husa"",";
"IBIO,""iBio, Inc."",""0.5"",""32821047.5"",""n/a"",""n/a"",""Health Care"",""Major Pharmaceuticals"",""http://www.nasdaq.com/symbol/ibio"",";
"IBO,""IBO (Listing Market - NYSE Amex Network B F)"",""1"",""0"",""n/a"",""n/a"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/ibo"",";
"IEC,""IEC Electronics Corp."",""4.02"",""40163719.5"",""n/a"",""n/a"",""Technology"",""Electrical Products"",""http://www.nasdaq.com/symbol/iec"",";
"IG,""IGI Laboratories, Inc."",""3.84"",""168032313.6"",""n/a"",""n/a"",""Health Care"",""Biotechnology: Biological Products (No Diagnostic Substances)"",""http://www.nasdaq.com/symbol/ig"",";
"IMUC,""ImmunoCellular Therapeutics, Ltd."",""1.16"",""66231114.08"",""n/a"",""n/a"",""Health Care"",""Major Pharmaceuticals"",""http://www.nasdaq.com/symbol/imuc"",";
"IMH,""Impac Mortgage Holdings, Inc."",""6.075"",""53964911.475"",""n/a"",""1997"",""Consumer Services"",""Real Estate Investment Trusts"",""http://www.nasdaq.com/symbol/imh"",";
"IMO,""Imperial Oil Limited"",""41.87"",""35488970590.57"",""n/a"",""n/a"",""Energy"",""Integrated oil Companies"",""http://www.nasdaq.com/symbol/imo"",";
"IOT,""Income Opportunity Realty Investors, Inc."",""5.56"",""23175269.84"",""n/a"",""n/a"",""Consumer Services"",""Real Estate Investment Trusts"",""http://www.nasdaq.com/symbol/iot"",";
"IRT,""Independence Realty Trust, Inc."",""8.8382"",""85311079.028"",""n/a"",""2013"",""Consumer Services"",""Real Estate Investment Trusts"",""http://www.nasdaq.com/symbol/irt"",";
"IGC,""India Globalization Capital Inc."",""0.94"",""7032540.44"",""n/a"",""n/a"",""Basic Industries"",""Precious Metals"",""http://www.nasdaq.com/symbol/igc"",";
"IGC/WS,""India Globalization Capital Inc."",""0.0161"",""0"",""n/a"",""n/a"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/igc/ws"",";
"INFU,""InfuSystems Holdings, Inc."",""2.35"",""51899822.85"",""n/a"",""n/a"",""Health Care"",""Medical/Dental Instruments"",""http://www.nasdaq.com/symbol/infu"",";
"IHT,""InnSuites Hospitality Trust"",""1.599"",""14714448.918"",""n/a"",""n/a"",""Consumer Services"",""Real Estate Investment Trusts"",""http://www.nasdaq.com/symbol/iht"",";
"INO,""Inovio Pharmaceuticals, Inc."",""2.56"",""533443760.64"",""n/a"",""n/a"",""Health Care"",""Medical/Dental Instruments"",""http://www.nasdaq.com/symbol/ino"",";
"NSPR,""InspireMD, Inc."",""2.98"",""102847452.64"",""n/a"",""n/a"",""Health Care"",""Medical/Dental Instruments"",""http://www.nasdaq.com/symbol/nspr"",";
"IFMI,""Institutional Financial Markets, Inc."",""2.43"",""36352335.87"",""n/a"",""n/a"",""Finance"",""Investment Bankers/Brokers/Service"",""http://www.nasdaq.com/symbol/ifmi"",";
"IDN,""Intellicheck Mobilisa, Inc."",""0.5125"",""14297451.8375"",""n/a"",""1999"",""Technology"",""Computer Software: Prepackaged Software"",""http://www.nasdaq.com/symbol/idn"",";
"INS,""Intelligent Systems Corporation"",""2.1395"",""19165700.906"",""n/a"",""1992"",""Capital Goods"",""Metal Fabrications"",""http://www.nasdaq.com/symbol/ins"",";
"THM,""International Tower Hill Mines Ltd"",""0.625"",""61292898.75"",""n/a"",""n/a"",""Basic Industries"",""Precious Metals"",""http://www.nasdaq.com/symbol/thm"",";
"INTT,""inTest Corporation"",""3.89"",""41069367.42"",""n/a"",""1997"",""Capital Goods"",""Electrical Products"",""http://www.nasdaq.com/symbol/intt"",";
"INUV,""Inuvo, Inc"",""1.38"",""32142225.84"",""n/a"",""n/a"",""Consumer Services"",""Advertising"",""http://www.nasdaq.com/symbol/inuv"",";
"VKI,""Invesco Advantage Municipal Income Trust II"",""10.84"",""481089508.84"",""n/a"",""n/a"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/vki"",";
"ICH,""Investors Capital Holdings, Ltd."",""7.2"",""51096405.6"",""n/a"",""2001"",""Finance"",""Finance/Investors Services"",""http://www.nasdaq.com/symbol/ich"",";
"ISR,""IsoRay, Inc."",""0.865"",""33232869.23"",""n/a"",""n/a"",""Health Care"",""Medical/Dental Instruments"",""http://www.nasdaq.com/symbol/isr"",";
"ITI,""Iteris, Inc."",""2.25"",""73650975.75"",""n/a"",""n/a"",""Consumer Durables"",""Telecommunications Equipment"",""http://www.nasdaq.com/symbol/iti"",";
"LTS,""Ladenburg Thalmann Financial Services Inc"",""2.92"",""526953215.6"",""n/a"",""n/a"",""Finance"",""Investment Bankers/Brokers/Service"",""http://www.nasdaq.com/symbol/lts"",";
"LTS^A,""Ladenburg Thalmann Financial Services Inc"",""23.32"",""0"",""n/a"",""n/a"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/lts^a"",";
"LSG,""Lake Shore Gold Corp"",""0.645"",""268720044.48"",""n/a"",""n/a"",""Basic Industries"",""Precious Metals"",""http://www.nasdaq.com/symbol/lsg"",";
"LAQ,""Latin America Equity Fund, Inc. (The)"",""26.5776"",""197963705.4192"",""n/a"",""1991"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/laq"",";
"LGL,""LGL Group, Inc. (The)"",""5.44"",""14019690.56"",""n/a"",""n/a"",""Capital Goods"",""Industrial Machinery/Components"",""http://www.nasdaq.com/symbol/lgl"",";
"LGL/WS,""LGL Group, Inc. (The)"",""0.09"",""0"",""n/a"",""n/a"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/lgl/ws"",";
"LBY,""Libbey, Inc."",""20.64"",""439596664.32"",""n/a"",""1993"",""Capital Goods"",""Industrial Machinery/Components"",""http://www.nasdaq.com/symbol/lby"",";
"LBMH,""Liberator Medical Holdings, Inc."",""5.94"",""311276694.96"",""n/a"",""n/a"",""Health Care"",""Medical/Nursing Services"",""http://www.nasdaq.com/symbol/lbmh"",";
"LIQT,""LiqTech International, Inc."",""1.815"",""49390687.5"",""n/a"",""n/a"",""Technology"",""Industrial Machinery/Components"",""http://www.nasdaq.com/symbol/liqt"",";
"LON,""Loncor Resources Inc."",""0.1111"",""8159154.2252"",""n/a"",""n/a"",""Basic Industries"",""Precious Metals"",""http://www.nasdaq.com/symbol/lon"",";
"LEI,""Lucas Energy, Inc."",""1.21"",""36258828.54"",""n/a"",""n/a"",""Energy"",""Oil & Gas Production"",""http://www.nasdaq.com/symbol/lei"",";
"MCZ,""Mad Catz Interactive Inc"",""0.498"",""31837889.988"",""n/a"",""n/a"",""Consumer Non-Durables"",""Recreational Products/Toys"",""http://www.nasdaq.com/symbol/mcz"",";
"MVG,""Mag Silver Corporation"",""6.58"",""395732504.44"",""n/a"",""n/a"",""Basic Industries"",""Precious Metals"",""http://www.nasdaq.com/symbol/mvg"",";
"MHR^C,""Magnum Hunter Resources Corporation"",""25.29"",""0"",""n/a"",""n/a"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/mhr^c"",";
"MHR^D,""Magnum Hunter Resources Corporation"",""47.2"",""0"",""n/a"",""n/a"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/mhr^d"",";
"MHR^E,""Magnum Hunter Resources Corporation"",""27.8"",""0"",""n/a"",""n/a"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/mhr^e"",";
"MSTX,""Mast Therapeutics, Inc."",""0.85"",""87303743.1"",""n/a"",""n/a"",""Health Care"",""Major Pharmaceuticals"",""http://www.nasdaq.com/symbol/mstx"",";
"MHH,""Mastech Holdings, Inc"",""13.79"",""57910167.28"",""n/a"",""n/a"",""Consumer Services"",""Professional Services"",""http://www.nasdaq.com/symbol/mhh"",";
"MDGN,""Medgenics, Inc."",""6.81"",""125901972.48"",""n/a"",""2011"",""Health Care"",""Biotechnology: Biological Products (No Diagnostic Substances)"",""http://www.nasdaq.com/symbol/mdgn"",";
"MDGN/WS,""Medgenics, Inc."",""3.25"",""0"",""n/a"",""n/a"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/mdgn/ws"",";
"MEET,""MeetMe, Inc."",""2.26"",""86958831.34"",""n/a"",""n/a"",""Consumer Services"",""Advertising"",""http://www.nasdaq.com/symbol/meet"",";
"IPB,""Merrill Lynch & Co., Inc."",""26"",""0"",""n/a"",""n/a"",""Finance"",""Finance: Consumer Services"",""http://www.nasdaq.com/symbol/ipb"",";
"MEA,""Metalico Inc"",""2.37"",""113865969.81"",""n/a"",""n/a"",""Basic Industries"",""Metal Fabrications"",""http://www.nasdaq.com/symbol/mea"",";
"MXC,""Mexco Energy Corporation"",""7.05"",""14359905.3"",""n/a"",""n/a"",""Energy"",""Oil & Gas Production"",""http://www.nasdaq.com/symbol/mxc"",";
"CCA,""MFS California Insured Municipal Trust"",""10.3496"",""28836448.8048"",""n/a"",""1999"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/cca"",";
"MGT,""MGT Capital Investments Inc"",""2.66"",""23466868.46"",""n/a"",""n/a"",""Miscellaneous"",""Multi-Sector Companies"",""http://www.nasdaq.com/symbol/mgt"",";
"MDW,""Midway Gold Corporation"",""1.03"",""136373648"",""n/a"",""n/a"",""Basic Industries"",""Precious Metals"",""http://www.nasdaq.com/symbol/mdw"",";
"MGH,""Minco Gold Corporation"",""0.237"",""11939992.455"",""n/a"",""n/a"",""Basic Industries"",""Precious Metals"",""http://www.nasdaq.com/symbol/mgh"",";
"MGN,""Mines Management, Inc."",""0.6099"",""17686948.7448"",""n/a"",""n/a"",""Basic Industries"",""Precious Metals"",""http://www.nasdaq.com/symbol/mgn"",";
"MXA,""Minnesota Municipal Income Portfolio Inc."",""15.39"",""63818374.77"",""n/a"",""1993"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/mxa"",";
"MDM,""Mountain Province Diamonds Inc."",""4.73"",""473271270.23"",""n/a"",""n/a"",""Basic Industries"",""Precious Metals"",""http://www.nasdaq.com/symbol/mdm"",";
"MVF,""MuniVest Fund, Inc."",""9.42"",""602712681.96"",""n/a"",""n/a"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/mvf"",";
"MZA,""MuniYield Arizona Fund, Inc."",""13.4999"",""61839734.4245"",""n/a"",""1993"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/mza"",";
"NNVC,""NanoViricides, Inc."",""6.05"",""302673641.05"",""n/a"",""n/a"",""Health Care"",""Biotechnology: Commercial Physical & Biological Resarch"",""http://www.nasdaq.com/symbol/nnvc"",";
"NHC,""National HealthCare Corporation"",""52.71"",""741290036.76"",""n/a"",""n/a"",""Health Care"",""Hospital/Nursing Management"",""http://www.nasdaq.com/symbol/nhc"",";
"NHC^A,""National HealthCare Corporation"",""14.52"",""0"",""n/a"",""n/a"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/nhc^a"",";
"NAVB,""Navidea Biopharmaceuticals, Inc."",""1.95"",""264951965.85"",""n/a"",""n/a"",""Health Care"",""Biotechnology: In Vitro & In Vivo Diagnostic Substances"",""http://www.nasdaq.com/symbol/navb"",";
"NBW,""Neuberger Berman California Intermediate Municipal Fund Inc."",""14.42"",""79785860"",""n/a"",""2002"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/nbw"",";
"NHS,""Neuberger Berman High Yield Strategies Fund"",""13.5899"",""265554582.5016"",""n/a"",""n/a"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/nhs"",";
"NBH,""Neuberger Berman Intermediate Municipal Fund Inc."",""14.33"",""268873790"",""n/a"",""2002"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/nbh"",";
"NML,""Neuberger Berman MLP Income Fund Inc."",""18.8662"",""1066111303.2368"",""n/a"",""2013"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/nml"",";
"NBO,""Neuberger Berman New York Intermediate Municipal Fund Inc."",""13.76"",""69832000"",""n/a"",""2002"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/nbo"",";
"NRO,""Neuberger Berman Real Estate Securities Income Fund, Inc."",""4.43"",""247140157.78"",""n/a"",""2003"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/nro"",";
"CUR,""Neuralstem, Inc."",""3.48"",""271369164.6"",""n/a"",""n/a"",""Health Care"",""Biotechnology: Biological Products (No Diagnostic Substances)"",""http://www.nasdaq.com/symbol/cur"",";
"UWN,""Nevada Gold & Casinos, Inc."",""1.39"",""22426412.9"",""n/a"",""n/a"",""Consumer Services"",""Services-Misc. Amusement & Recreation"",""http://www.nasdaq.com/symbol/uwn"",";
"NSU,""Nevsun Resources Ltd"",""3.73"",""743418101.46"",""n/a"",""n/a"",""Basic Industries"",""Precious Metals"",""http://www.nasdaq.com/symbol/nsu"",";
"GBR,""New Concept Energy, Inc"",""1.87"",""3640768.45"",""n/a"",""n/a"",""Energy"",""Oil & Gas Production"",""http://www.nasdaq.com/symbol/gbr"",";
"NEN,""New England Realty Associates Limited Partnership"",""45.97"",""178644982.37"",""n/a"",""n/a"",""Consumer Services"",""Building operators"",""http://www.nasdaq.com/symbol/nen"",";
"NGD,""NEW GOLD INC."",""5.81"",""2925029899.47"",""n/a"",""n/a"",""Basic Industries"",""Precious Metals"",""http://www.nasdaq.com/symbol/ngd"",";
"PAL,""North American Palladium, Ltd."",""0.5572"",""109829650.21"",""n/a"",""2000"",""Basic Industries"",""Precious Metals"",""http://www.nasdaq.com/symbol/pal"",";
"NAK,""Northern Dynasty Minerals, Ltd."",""1.39"",""132063710.96"",""n/a"",""n/a"",""Basic Industries"",""Precious Metals"",""http://www.nasdaq.com/symbol/nak"",";
"NOG,""Northern Oil and Gas, Inc."",""14.1"",""871445790.6"",""n/a"",""n/a"",""Energy"",""Oil & Gas Production"",""http://www.nasdaq.com/symbol/nog"",";
"NBY,""NovaBay Pharmaceuticals, Inc."",""1.32"",""52005008.88"",""n/a"",""2007"",""Health Care"",""Major Pharmaceuticals"",""http://www.nasdaq.com/symbol/nby"",";
"NCQ,""NovaCopper Inc."",""1.51"",""80827071.62"",""n/a"",""n/a"",""Basic Industries"",""Precious Metals"",""http://www.nasdaq.com/symbol/ncq"",";
"NG,""Novagold Resources Inc."",""3"",""949985076"",""n/a"",""n/a"",""Basic Industries"",""Precious Metals"",""http://www.nasdaq.com/symbol/ng"",";
"NTN,""NTN Buzztime, Inc."",""0.6699"",""52686957.0612"",""n/a"",""n/a"",""Consumer Services"",""Broadcasting"",""http://www.nasdaq.com/symbol/ntn"",";
"NLP,""NTS Realty Holdings Limited Partnership"",""7.85"",""87097900.9"",""n/a"",""n/a"",""Consumer Services"",""Real Estate Investment Trusts"",""http://www.nasdaq.com/symbol/nlp"",";
